Evaluating: 2 1 2 1 1 4 2 0 3 
MWFT(norm) MWFT LB
35.9982 914.992 25.4177
39.493 1007.05 25.4995
39.493 1007.05 25.4995
40.9974 1045.42 25.4995
39.1511 998.334 25.4995
41.9214 1084.58 25.8718
41.9214 1084.58 25.8718
35.8278 926.928 25.8718
34.5714 894.423 25.8718
44.5621 1135.65 25.4848
44.5621 1135.65 25.4848
40.8637 1041.4 25.4848
40.1783 1023.94 25.4848
37.8557 995.882 26.3073
37.8557 995.882 26.3073
36.1647 951.398 26.3073
37.1354 976.933 26.3073
41.9099 1049.41 25.0397
41.9099 1049.41 25.0397
41.5498 1040.39 25.0397
34.6324 867.185 25.0397
39.8871 1008.33 25.2795
39.8871 1008.33 25.2795
38.0376 961.571 25.2795
34.725 877.831 25.2795
40.4438 1041.65 25.7555
40.4438 1041.65 25.7555
36.995 952.824 25.7555
36.9093 950.619 25.7555
40.6861 1067.72 26.2429
40.6861 1067.72 26.2429
36.5738 959.805 26.2429
34.6152 908.404 26.2429
43.2509 1075.61 24.8691
43.2509 1075.61 24.8691
37.6829 937.138 24.8691
38.4618 956.51 24.8691
42.4469 1055.07 24.8563
42.4469 1055.07 24.8563
47.9766 1192.52 24.8563
35.8303 890.608 24.8563
43.0136 1084.53 25.2136
43.0136 1084.53 25.2136
37.4902 945.262 25.2136
34.3811 866.871 25.2136
42.463 1054.13 24.8247
42.463 1054.13 24.8247
45.791 1136.75 24.8247
34.1547 847.88 24.8247
40.8983 1035.31 25.3142
40.8983 1035.31 25.3142
39.798 1007.45 25.3142
33.8864 857.806 25.3142
40.1549 1002.08 24.9553
40.1549 1002.08 24.9553
43.9974 1097.97 24.9553
36.605 913.491 24.9553
41.8826 1062.61 25.3712
41.8826 1062.61 25.3712
37.7536 957.854 25.3712
35.6819 905.294 25.3712
42.5693 1117.46 26.2503
42.5693 1117.46 26.2503
38.4472 1009.25 26.2503
34.9136 916.495 26.2503
41.7834 1009.72 24.1657
41.7834 1009.72 24.1657
39.1979 947.243 24.1657
32.6563 789.162 24.1657
41.3209 1019.22 24.666
41.3209 1019.22 24.666
38.282 944.263 24.666
36.5695 902.023 24.666
41.2135 1051.62 25.5163
41.2135 1051.62 25.5163
37.4938 956.703 25.5163
34.8696 889.744 25.5163
41.3763 1044.74 25.2498
41.3763 1044.74 25.2498
35.8112 904.226 25.2498
37.0631 935.835 25.2498
38.692 1026.29 26.5247
38.692 1026.29 26.5247
39.2275 1040.5 26.5247
36.3137 963.21 26.5247
43.1074 1081.01 25.077
43.1074 1081.01 25.077
38.3613 961.988 25.077
35.2299 883.462 25.077
40.5074 1029.74 25.421
40.5074 1029.74 25.421
36.3787 924.781 25.421
36.0475 916.362 25.421
41.6462 1035.55 24.8654
41.6462 1035.55 24.8654
37.0632 921.593 24.8654
35.2255 875.897 24.8654
43.0239 1127.11 26.1972
43.0239 1127.11 26.1972
38.7996 1016.44 26.1972
37.4061 979.937 26.1972
44.5792 1129.23 25.3308
44.5792 1129.23 25.3308
38.7712 982.104 25.3308
38.2791 969.639 25.3308
38.5632 1036.46 26.8769
38.5632 1036.46 26.8769
34.2829 921.417 26.8769
33.5661 902.151 26.8769
41.8339 1099.16 26.2743
41.8339 1099.16 26.2743
39.7057 1043.24 26.2743
34.8638 916.023 26.2743
41.3177 1017.52 24.6269
41.3177 1017.52 24.6269
36.0115 886.851 24.6269
38.478 947.593 24.6269
40.0132 1021.24 25.5225
40.0132 1021.24 25.5225
39.1765 999.885 25.5225
34.4912 880.303 25.5225
39.7763 1027.72 25.8375
39.7763 1027.72 25.8375
40.4974 1046.35 25.8375
34.5508 892.705 25.8375
41.3919 1037.99 25.0773
41.3919 1037.99 25.0773
37.714 945.763 25.0773
34.9178 875.643 25.0773
40.4217 1036.71 25.6473
40.4217 1036.71 25.6473
38.3137 982.642 25.6473
36.2679 930.173 25.6473
41.2596 1023.13 24.7975
41.2596 1023.13 24.7975
38.7021 959.712 24.7975
35.0672 869.577 24.7975
41.472 1033.17 24.9125
41.472 1033.17 24.9125
40.1703 1000.75 24.9125
34.1931 851.838 24.9125
42.3511 1044.87 24.6715
42.3511 1044.87 24.6715
38.1152 940.361 24.6715
34.2937 846.078 24.6715
39.4693 1037.42 26.2841
39.4693 1037.42 26.2841
38.6548 1016.01 26.2841
35.579 935.163 26.2841
40.5071 1033.73 25.5198
40.5071 1033.73 25.5198
41.1225 1049.44 25.5198
37.456 955.871 25.5198
40.3539 1059.02 26.2434
40.3539 1059.02 26.2434
36.0629 946.411 26.2434
35.5177 932.104 26.2434
42.0727 1000.25 23.7745
42.0727 1000.25 23.7745
51.3231 1220.18 23.7745
40.0118 951.26 23.7745
40.3786 1049.21 25.9842
40.3786 1049.21 25.9842
35.8704 932.064 25.9842
36.0901 937.774 25.9842
40.3118 1018.85 25.2743
40.3118 1018.85 25.2743
36.018 910.33 25.2743
32.9068 831.696 25.2743
41.4241 1060.74 25.6068
41.4241 1060.74 25.6068
37.1903 952.326 25.6068
34.5564 884.881 25.6068
